Date,Average_price
090/09/24,206
090/09/25,222
090/09/26,215
090/09/27,210
090/09/28,226
090/09/29,227
090/09/30,207
090/10/01,179
090/10/04,186
090/10/05,229
090/10/06,206
090/10/08,180
090/10/09,165
090/10/10,155
090/10/11,157
090/10/12,160
090/10/13,168
090/10/15,210
090/10/16,209
090/10/17,180
090/10/18,153
090/10/19,150
090/10/20,139
090/10/22,148
090/10/23,127
090/10/24,145
090/10/25,142
090/10/26,159
090/10/27,157
090/10/29,194
090/10/30,187
090/10/31,141
090/11/01,151
090/11/02,173
090/11/03,162
090/11/05,170
090/11/06,148
090/11/07,138
090/11/08,144
090/11/09,150
090/11/10,142
090/11/12,151
090/11/13,139
090/11/14,135
090/11/15,123
090/11/16,137
090/11/17,160
090/11/19,141
090/11/20,129
090/11/21,150
090/11/22,140
090/11/23,172
090/11/24,174
090/11/26,171
090/11/27,190
090/11/28,158
090/11/29,207
090/11/30,164
090/12/01,153
090/12/03,150
090/12/04,135
090/12/05,129
090/12/06,112
090/12/07,117
090/12/08,99
090/12/10,97
090/12/11,102
090/12/12,100
090/12/13,113
090/12/14,145
090/12/15,135
090/12/17,115
090/12/18,112
090/12/19,95
090/12/20,87
090/12/21,93
090/12/22,99
090/12/23,89
090/12/24,79
090/12/25,121
090/12/27,148
090/12/28,168
090/12/29,162
090/12/31,168
091/01/01,213
091/01/02,183
091/01/03,183
091/01/04,176
091/01/05,175
091/01/07,186
091/01/08,210
091/01/09,242
091/01/10,191
091/01/11,202
091/01/12,183
091/01/14,194
091/01/15,167
091/01/16,142
091/01/17,121
091/01/18,105
091/01/19,91
091/01/21,111
091/01/22,139
091/01/23,152
091/01/24,154
091/01/25,132
091/01/26,125
091/01/28,106
091/01/29,131
091/01/30,130
091/01/31,130
091/02/01,138
091/02/02,148
091/02/03,148
091/02/04,168
091/02/05,169
091/02/06,172
091/02/07,173
091/02/08,151
091/02/09,128
091/02/10,96
091/02/11,74
091/02/17,43
091/02/18,67
091/02/19,76
091/02/20,63
091/02/21,44
091/02/22,50
091/02/23,54
091/02/24,65
091/02/25,72
091/02/26,67
091/03/01,98
091/03/02,114
091/03/04,79
091/03/05,75
091/03/06,65
091/03/07,74
091/03/08,100
091/03/09,123
091/03/11,105
091/03/12,139
091/03/13,141
091/03/14,137
091/03/15,142
091/03/16,119
091/03/18,82
091/03/19,81
091/03/20,92
091/03/21,94
091/03/22,89
091/03/23,62
091/03/25,58
091/03/26,88
091/03/27,123
091/03/28,131
091/03/29,110
091/03/30,90
091/04/01,88
091/04/02,77
091/04/03,70
091/04/04,54
091/04/05,51
091/04/06,37
091/04/08,38
091/04/09,44
091/04/10,51
091/04/11,51
091/04/12,64
091/04/13,82
091/04/15,76
091/04/16,74
091/04/17,63
091/04/18,54
091/04/19,64
091/04/20,78
091/04/22,68
091/04/23,49
091/04/24,44
091/04/25,51
091/04/26,68
091/04/27,64
091/04/29,58
091/04/30,58
091/05/01,76
091/05/02,115
091/05/03,103
091/05/04,89
091/05/05,70
091/05/07,68
091/05/08,116
091/05/09,126
091/05/10,125
091/05/11,116
091/05/12,101
091/05/15,110
091/05/16,132
091/05/17,133
091/05/18,169
091/05/19,140
091/05/21,141
091/05/22,154
091/05/23,165
091/05/24,172
091/05/25,178
091/05/26,162
091/05/28,144
091/05/29,162
091/05/30,168
091/05/31,183
091/06/01,146
091/06/03,161
091/06/04,162
091/06/05,205
091/06/06,174
091/06/07,210
091/06/08,153
091/06/10,173
091/06/11,188
091/06/12,144
091/06/13,128
091/06/14,130
091/06/15,142
091/06/18,154
091/06/19,138
091/06/20,148
091/06/21,145
091/06/22,148
091/06/24,170
091/06/25,144
091/06/26,100
091/06/27,107
091/06/28,118
091/06/29,137
091/07/01,125
091/07/02,117
091/07/03,104
091/07/04,81
091/07/05,83
091/07/06,105
091/07/08,137
091/07/09,110
091/07/10,105
091/07/11,100
091/07/12,78
091/07/13,94
091/07/15,92
091/07/16,106
091/07/17,88
091/07/18,95
091/07/19,108
091/07/20,105
091/07/22,118
091/07/23,133
091/07/24,141
091/07/25,134
091/07/26,133
091/07/27,158
091/07/29,175
091/07/30,158
091/07/31,154
091/08/01,157
091/08/02,143
091/08/03,137
091/08/05,131
091/08/06,127
091/08/07,152
091/08/08,157
091/08/09,143
091/08/10,168
091/08/12,160
091/08/13,132
091/08/14,109
091/08/15,112
091/08/16,119
091/08/17,131
091/08/19,142
091/08/20,160
091/08/21,141
091/08/22,142
091/08/23,130
091/08/26,133
091/08/27,138
091/08/28,125
091/08/29,122
091/08/30,105
091/08/31,107
091/09/02,111
091/09/03,124
091/09/04,134
091/09/05,123
091/09/06,122
091/09/07,147
091/09/09,142
091/09/10,157
091/09/11,153
091/09/12,150
091/09/13,131
091/09/14,117
091/09/16,125
091/09/17,126
091/09/18,137
091/09/19,153
091/09/20,174
091/09/21,177
091/09/24,158
091/09/25,167
091/09/26,179
091/09/27,193
091/09/28,175
091/09/30,184
091/10/01,186
091/10/02,190
091/10/03,187
091/10/04,203
091/10/05,211
091/10/07,165
091/10/08,171
091/10/09,162
091/10/10,158
091/10/11,168
091/10/12,149
091/10/14,166
091/10/15,144
091/10/16,142
091/10/17,138
091/10/18,163
091/10/19,144
091/10/21,145
091/10/22,160
091/10/23,172
091/10/24,163
091/10/25,154
091/10/26,135
091/10/28,129
091/10/29,119
091/10/30,137
091/10/31,143
091/11/01,123
091/11/02,92
091/11/04,114
091/11/05,128
091/11/06,110
091/11/07,125
091/11/08,110
091/11/09,95
091/11/11,104
091/11/12,99
091/11/13,84
091/11/14,83
091/11/15,94
091/11/16,144
091/11/18,101
091/11/19,99
091/11/20,86
091/11/21,79
091/11/22,81
091/11/23,80
091/11/25,83
091/11/26,94
091/11/27,114
091/11/28,152
091/11/29,136
091/11/30,112
091/12/02,111
091/12/03,102
091/12/04,79
091/12/05,79
091/12/06,69
091/12/07,75
091/12/09,62
091/12/10,68
091/12/11,77
091/12/12,80
091/12/13,98
091/12/14,104
091/12/16,115
091/12/17,110
091/12/18,105
091/12/19,129
091/12/20,132
091/12/21,118
091/12/22,92
091/12/23,78
091/12/24,85
091/12/25,84
091/12/26,99
091/12/27,91
091/12/28,105
091/12/30,94
091/12/31,103
092/01/01,98
092/01/02,111
092/01/03,132
092/01/04,118
092/01/06,99
092/01/07,154
092/01/08,134
092/01/09,149
092/01/10,142
092/01/11,103
092/01/13,109
092/01/14,132
092/01/15,119
092/01/16,99
092/01/17,90
092/01/18,100
092/01/20,84
092/01/21,105
092/01/22,106
092/01/23,91
092/01/24,98
092/01/25,111
092/01/26,113
092/01/27,116
092/01/28,105
092/01/29,118
092/01/30,114
092/01/31,120
092/02/06,93
092/02/07,76
092/02/08,83
092/02/09,110
092/02/10,149
092/02/11,126
092/02/12,96
092/02/13,85
092/02/14,68
092/02/15,73
092/02/18,76
092/02/19,72
092/02/20,93
092/02/21,109
092/02/22,84
092/02/24,86
092/02/25,120
092/02/26,129
092/02/27,118
092/02/28,96
092/03/01,94
092/03/02,94
092/03/03,80
092/03/05,99
092/03/06,103
092/03/07,93
092/03/08,92
092/03/10,90
092/03/11,96
092/03/12,118
092/03/13,116
092/03/14,107
092/03/15,124
092/03/16,121
092/03/18,94
092/03/19,91
092/03/20,81
092/03/21,90
092/03/22,106
092/03/24,97
092/03/25,100
092/03/26,96
092/03/27,95
092/03/28,98
092/03/29,95
092/03/31,96
092/04/01,83
092/04/02,104
092/04/03,85
092/04/04,99
092/04/05,88
092/04/08,73
092/04/09,96
092/04/10,92
092/04/11,90
092/04/12,78
092/04/14,83
092/04/15,93
092/04/16,102
092/04/17,125
092/04/18,96
092/04/19,99
092/04/21,98
092/04/22,102
092/04/23,108
092/04/24,84
092/04/25,75
092/04/26,90
092/04/28,59
092/04/29,46
092/04/30,52
092/05/01,62
092/05/02,102
092/05/03,91
092/05/05,82
092/05/06,67
092/05/07,65
092/05/08,74
092/05/09,73
092/05/10,77
092/05/11,96
092/05/14,91
092/05/15,69
092/05/16,64
092/05/17,70
092/05/19,75
092/05/20,104
092/05/21,75
092/05/22,82
092/05/23,63
092/05/24,58
092/05/26,69
092/05/27,75
092/05/28,59
092/05/29,67
092/05/30,86
092/05/31,89
092/06/01,69
092/06/02,88
092/06/03,80
092/06/04,78
092/06/06,83
092/06/07,81
092/06/09,83
092/06/10,77
092/06/11,85
092/06/12,104
092/06/13,103
092/06/14,95
092/06/16,113
092/06/17,108
092/06/18,121
092/06/19,110
092/06/20,108
092/06/21,81
092/06/23,68
092/06/24,73
092/06/25,77
092/06/26,92
092/06/27,101
092/06/28,119
092/06/29,129
092/07/01,117
092/07/02,105
092/07/03,113
092/07/04,93
092/07/05,86
092/07/07,85
092/07/08,102
092/07/09,90
092/07/10,100
092/07/11,106
092/07/12,118
092/07/13,125
092/07/14,133
092/07/16,119
092/07/17,131
092/07/18,147
092/07/19,137
092/07/21,117
092/07/22,140
092/07/23,134
092/07/24,141
092/07/25,146
092/07/26,157
092/07/27,148
092/07/28,147
092/07/30,158
092/07/31,173
092/08/01,162
092/08/02,148
092/08/03,121
092/08/04,96
092/08/07,144
092/08/08,174
092/08/09,164
092/08/10,148
092/08/11,154
092/08/12,204
092/08/15,203
092/08/16,202
092/08/18,156
092/08/19,148
092/08/20,157
092/08/21,168
092/08/22,167
092/08/23,173
092/08/25,157
092/08/26,158
092/08/27,154
092/08/28,178
092/08/29,199
092/08/30,194
092/09/01,196
092/09/02,169
092/09/03,180
092/09/04,175
092/09/05,184
092/09/06,173
092/09/08,176
092/09/09,175
092/09/10,174
092/09/11,185
092/09/12,214
092/09/15,169
092/09/16,142
092/09/17,130
092/09/18,133
092/09/19,135
092/09/20,128
092/09/22,122
092/09/23,157
092/09/24,179
092/09/25,186
092/09/26,195
092/09/27,184
092/09/29,186
092/09/30,200
092/10/01,205
092/10/02,203
092/10/03,215
092/10/04,208
092/10/06,197
092/10/07,230
092/10/08,251
092/10/09,218
092/10/10,198
092/10/11,201
092/10/13,197
092/10/14,222
092/10/15,230
092/10/16,227
092/10/17,228
092/10/18,220
092/10/20,240
092/10/21,240
092/10/22,262
092/10/23,248
092/10/24,246
092/10/25,247
092/10/27,237
092/10/28,244
092/10/29,240
092/10/30,228
092/10/31,212
